Titre,Titre original,Année,Réalisateur/trice,,Lien Drive,,,,,
Les Plages d'Agnès,Les Plages d'Agnès,2008,Agnès Varda,,The.Beaches.Of.Agnes.2008.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,,,
Triangle,鐵三角,2007,Johnnie To ,,Triangle,,,,,
Oh Lucy!,オー・ルーシー！,2017,Atsuko Hirayanagi,,Oh Lucy,,,,,
What Happened Was...,What Happened Was...,1994,Tom Noonan,,What Happened Was,,,,,
The Little Girl Who Conquered Time,時をかける少女,1983,Nobuhiko Obayashi,,The Girl Who Leapt Through Time,,,,,
Toad's Oil,ガマの油,2009,Koji Yakusho,,Toad's Oil,,,,,
Alice in the Cities,Alice in den Städten,1974,Wim Wenders,,Alice in the Cities,,,,,
Caught by the Tides,风流一代,2024,Jia Zhang-ke,,Caught by the Tides,,,,,
A Hidden Life,A Hidden Life,2019,Terrence Malick,,A Hidden Life (2019) [1080p] [BluRay] [5.1] [YTS.MX],风流一代,2024,Jia Zhang-ke,,Caught by the Tides
Columbus,Columbus,2017,Kogonada,,Columbus (2017) [BluRay] [1080p] [YTS.AM],,,,,
A World Not Ours,                                                                        عالم ليس لنا,2012,Mahdi Fleifel,,A World Not Ours,,,,,
O-DE-KA-KE Diary,おでかけ日記,1989,Utako Koguchi,,O-De-Ka-Ke Diary (1989).mkv,,,,,
Hovering Over the Water,À Flor do Mar,1986,Joao César Monteiro,,Hovering Over The Water,,,,,
New Religion,ニューレリジョン,2022,Keishi Kondo,,New Religion,,,,,
Cold Fever,Á köldum klaka,1995,Fridrik Thor Fridriksson,,Cold Fever,,,,,
Johatsu-Into Thin Air,蒸発,2024,"Andreas Hartmann, Arata Mori",,Johatsu.Into.Thin.Air.2024.1080p.FEST.WEB-DL.AAC2.0.H.264-SasukeducK.mkv,,,,,
Diamonds of the Night,Démanty noci,1964,Jan Nemec,,Diamonds.Of.The.Night.1964.VOSTFR.1080p.BluRay.x264-YTS.AM.mkv,,,,,
